texto,tipo
Marcha personal de salud en Oaxaca,Bloqueos
Se registra enfrentamiento armado entre civiles y policías en la Tolome-Paso de Ovejas,Bloqueos
Marcha retrasa a personas que salen a sus actividades esenciales,Bloqueos
VERACRUZ: Enfrentamiento entre palaperos y turistas deja personas lesionadas,Bloqueos
Marchan en la CDMX a 7 años de la desaparición de los 43 de Ayotzinapa,Bloqueos
Participará Oaxaca en marcha a favor de la vida el 3 de octubre,Manifestaciones
"Deja un muerto enfrentamiento de GN y AEI con presuntos narcomenudistas en San Francisco del Mar, Oaxaca",Bloqueos
Con bloqueo cierran paso a tiradero municipal y a la Costa,Bloqueos
Tres bloqueos en el Istmo afectan tránsito a Oaxaca y a Veracruz,Bloqueos
Marcha y bloqueos sitian a la ciudad de Oaxaca,Bloqueos
Marchan para pedir reinstalación de personal médico despedido en Oaxaca,Bloqueos
Habitantes de Jocotepec retienen a policías estatales en bloqueo carretero,Bloqueos
Permanecen bloqueos en la capital y zona conurbada de la ciudad de Oaxaca.,Bloqueos
Violentan derecho de tránsito con varios bloqueos en Oaxaca,Bloqueos
Personal médico despedido mantiene bloqueo en el crucero del aeropuerto,Bloqueos
"Indignante, pobladores de Jocotepec retienen ambulancia de Cruz Ámbar en bloqueo de Sebastopol en Tuxtepec",Bloqueos
Levantan bloqueo en el Istmo; pobladores de Chimalapa recibirán recursos,Bloqueos
Bloqueos complican la movilidad en la ciudad de Oaxaca,Bloqueos
Continúa bloqueo en carretera del Istmo,Bloqueos
"Tras finalizar bloqueo en Jalapa, transportistas reportan pérdidas millonarias.",Bloqueos
Trasciende enfrentamiento de policías y sujetos armados,Bloqueos
OAXACA: normalistas de la Mixteca marcharán por el No Olvido del Movimiento Estudiantil del 68,Bloqueos
Codeci anuncia bloqueos para conmemorar 11 aniversario luctuoso de su líder fundador Catarino Torres Pereda,Bloqueos
[VIDEO] Realizan marcha pro-vida en Tuxtepec,Manifestaciones
Bloqueo en Ciudad Administrativa afecta trámites y servicios,Bloqueos
Sindicato del IEBO anuncia bloqueos en todas las salidas/entradas a Tuxtepec,Bloqueos
Retiran bloqueo de calles aledañas al Palacio Municipal de la ciudad de Oaxaca,Bloqueos
Trabajadores de limpia instalaron bloqueos en la ciudad de Oaxaca,Bloqueos
Desaire de Oswaldo García propicia bloqueo en Tinoco y Palacios,Bloqueos
Dos grupos anuncian bloqueos y manifestaciones para este miércoles en Tuxtepec,Bloqueos
OAXACA: SUTIEBO activa bloqueos en regiones del Estado por millonaria deuda,Bloqueos
[VIDEO] Bloqueos 'secuestraron'Tuxtepec; comerciantes reportan perdidas millonarias,Bloqueos
"No a todos les fue mal con los bloqueos en Tuxtepec, taxistas repuntaron en pasajes",Bloqueos
"Retiran bloqueos en la ciudad de Oaxaca, se normaliza el tránsito",Bloqueos
Diálogo sin afectaciones pide Segego ante bloqueos en Oaxaca,Bloqueos
¡Se suma a bloqueos! Undeci exige atención de Bienestar y gobierno,Bloqueos
Padecen negocios pandemia y bloqueos en Tuxtepec,Bloqueos
Baja 60% el servicio de empresas transportistas por bloqueos en Oaxaca,Bloqueos
Personal de limpia reinicia bloqueos en la ciudad de Oaxaca,Bloqueos
"OAXACA: se alista bloqueo indefinido en carretera Pinotepa – Acapulco, pobladores de La Muralla piden recursos conforme a la ley aseguran",Bloqueos
OAXACA: latente retomar bloqueos por parte de trabajadores de limpia,Bloqueos
Retiran manifestantes bloqueo en Pinotepa Nacional,Bloqueos
Indolencia de autoridades municipales genera tres bloqueos hoy.,Bloqueos
Sindicalizados retiran bloqueo en la avenida Universidad,Bloqueos
Antorcha campesina plantea exigencias al estado con bloqueos,Bloqueos
"Trasciende enfrentamiento a balazos entre ministeriales y civiles, en Tantoyuca",Bloqueos
Retiran bloqueo transportistas de la Semarnat; atiende Segego la problemática.,Bloqueos
"OAXACA: Se libera bloqueo en carretera a Juquila, habría sido cerrado poco más de 15 días",Bloqueos
Afectan movilidad en Miahuatlán con dos bloqueos,Bloqueos
"Con bloqueo carretero piden cancelar proyecto minero San José, en Oaxaca",Bloqueos
OAXACA: Añeja demanda genera bloqueo carretero en Zaachila,Bloqueos
Retiran antimineras bloqueo hacia la Sierra Sur y Costa de Oaxaca,Bloqueos
Tras mesa de diálogo retiran bloqueo en Carretera Federal 200,Bloqueos
Desatención en CEA y Segego propicia bloqueos en Oaxaca,Bloqueos
OAXACA: Activan bloqueos por detención de un integrante de CTM,Bloqueos
Marchan padres de los 43 en Chilpancingo por 85 meses de caso Ayotzinapa,Bloqueos
OAXACA: Con bloqueo STEUABJO exige toma de nota,Bloqueos
OAXACA: Amanece bloqueo por crisis en sector salud,Bloqueos
Con bloqueos a vías férreas demandan información del Corredor Interoceánico en Oaxaca,Bloqueos
Vecinos desalojan a quienes bloqueaban en carretera del Istmo,Bloqueos
Pueblo de San Juan Mazatlán acciona con bloqueos; cierra Transistmica y carretera Tuxtepec-Palomares,Bloqueos
Reportan enfrentamiento entre policías y vendedores ambulantes en Oaxaca,Bloqueos
Mototaxistas del grupo OLI anuncian bloqueo carretero.,Bloqueos
Prometen plazas a trabajadores de Salud tras marcha en Acapulco,Manifestaciones
Bloqueos viales en Oaxaca de Juárez suman 4 semanas consecutivas,Bloqueos
Bloqueo en crucero de Huayapam impide movilidad de personas,Bloqueos
OAXACA: integrantes de CODECI dan otro día de bloqueo a capitalinos,Bloqueos
Cumple tres días en Oaxaca bloqueo carretero que impide paso a turistas y comerciantes del Istmo a Huatulco,Bloqueos
Van 4 días de afectaciones por bloqueo en el Istmo de Tehuantepec,Bloqueos
Marcharán el 23 de octubre por asesinato de Heriberto Pazos,Bloqueos
Retiran bloqueo de la avenida Universidad,Bloqueos
Recuerdan con marcha y homenajes a Heriberto Pazos,Manifestaciones
Van 8 días de afectaciones por bloqueo en Huamelula,Bloqueos
Bloqueo en el IMECA por parte de trabajadores del SAP en Juchitán,Bloqueos
Investiga Fiscalía de Oaxaca enfrentamientos en San Esteban Atatlahuca,Bloqueos
Retiran bloqueo en carretera de Río Grande a Juquila,Bloqueos
Bloqueos afectan movilidad en la colonia Reforma,Bloqueos
OAXACA: por obra escolar se realiza bloqueo en carretera federal,Bloqueos
"Con diálogo, la Policía Estatal logra desactivar bloqueos en la ciudad de Oaxaca.",Bloqueos
En Huajuapan marchan contra decreto que obliga a mayores de edad a mostrar certificado de vacunación,Bloqueos
La ENSFO marcha para encubrir a su director,Manifestaciones
"Fiscalía General interviene e inicia investigación en San Esteban Atatlahuca, tras enfrentamiento armado",Bloqueos
Marchan cientos en Oaxaca a favor de la vida y contra el aborto,Bloqueos
Damnificados por las lluvias en el Istmo amenazan con bloqueos,Bloqueos
OAXACA: CIPO realiza bloqueos en exigencia de justicia,Bloqueos
Retiran bloqueo entre Atatlahuca y Santa Cruz Nundaco,Bloqueos
Retiran bloqueo en carretera a la Costa,Bloqueos
Desquician bloqueos la ciudad de Oaxaca,Bloqueos
Marchan por dignidad y respeto en Tuxtepec,Bloqueos
OAXACA: 'no cambia nada'dice líder de Sindicato Independiente 3 de Marzo al anunciar otro día de bloqueos en la capital,Bloqueos
¡Otra vez! Desquician a Tuxtepec con bloqueos,Bloqueos
"Canceladas por bloqueos, 20% de reservaciones hoteleras en Oaxaca",Bloqueos
Mantendrán Sindicato 3 de Marzo bloqueos en Oaxaca hasta una respuesta,Bloqueos
"[VIDEO] En la vida hay que enfrentar los problemas, recomienda Murat a edil de Oaxaca; convoca a dialogo en Palacio para levantar bloqueos",Bloqueos
OAXACA: Gobernador del Estado atiende a Sindicato 3 de Marzo tras 15 horas de bloqueos,Bloqueos
Sindicato 3 de Marzo prolonga bloqueo hasta las 10 de la noche y reanuda mañana a las cinco.,Bloqueos
Levanta SUTIEBO bloqueo en la Costa tras promesa de solución,Bloqueos
Continúa bloqueo en la calle Miguel Cabrera de la ciudad de Oaxaca,Bloqueos
Bloqueo en el Istmo impide paso hacia Chiapas,Bloqueos
Tomas de agua clandestinas provocan enfrentamiento en Huajuapan,Bloqueos
OAXACA: CSSO protesta con bloqueo en principal avenida de la capital oaxaqueña,Bloqueos
Amagan con bloqueo carretero trabajadores del SAP de Juchitán.,Bloqueos
Bloqueo en carretera Juquila-Río Grande cumple 3 días,Bloqueos
"Con ""marcha del hartazgo"", mujeres de Tuxtepec exigen justicia ante el aumento de desapariciones",Manifestaciones
Dan marcha atrás para clases presenciales en escuelas privadas de Oaxaca,Bloqueos
UNACH pone en marcha Congreso Mesoamericano de Investigación,Neutral
Marchan en la ciudad de Oaxaca familiares de personas desaparecidas,Bloqueos
Con bloqueo impiden paso entre Salina Cruz y Huatulco,Bloqueos
OAXACA: trabajadores de salud marchan por despido (VIDEO),Bloqueos
OAXACA: bloqueo en la capital por obras (VÍDEO),Bloqueos
"Con bloqueos, el SITYPS insiste en plazas para administrativos",Bloqueos
Retiran bloqueo en carretera del Istmo,Bloqueos
OAXACA: En marcha patrulla feminista para exhibir a deudores,Neutral
OAXACA: trabajadores despedidos del sector salud realizan bloqueo,Bloqueos
Más de 300 despedidos de la jurisdicción sanitaria número 3 de Tuxtepec anuncian bloqueos para protestar; exigen reinstalación (vídeo),Bloqueos
El STEUABJO quiere 12 millones de pesos… sin trabajar; realiza bloqueo,Bloqueos
OAXACA: sin graves daños termina marcha de estudiantes,Manifestaciones
"Marchan sin violencia en Oaxaca, para conmemorar el 2 de octubre del 68",Bloqueos
Retrasan marcha trabajadores de salud en Oaxaca,Manifestaciones
Marcha Coordinadora de Sindicatos de Salud en Oaxaca; instalan plantón en Casa Oficial,Bloqueos
OAXACA: se retira bloqueo por parte de STEUABJO (VÍDEO),Bloqueos
"Fiscalía General presentó datos de prueba suficientes y Juez vinculó a proceso a probable responsable del homicidio de adolescente, ocurrido en enfrentamiento en la Central de Abasto",Bloqueos
Retiran bloqueo en carretera a Tuxtepec,Bloqueos
Más de diez empresas se han ido del Istmo por bloqueos,Bloqueos
Detienen a ex jefe de la Policía por enfrentamiento en Nochixtlán,Bloqueos
Avanza Fiscalía con investigaciones sobre el enfrentamiento en la agencia Vicente Guerrero,Bloqueos
Reportan enfrentamiento entre elementos de la Guardia Nacional y civiles en San Francisco del Mar; tres muertos saldo preliminar,Bloqueos
Mártires marcha invicto tras duelo vs Barrio Nueve en la jornada 5 de la Liga Municipal de Futbol,Bloqueos
"Con marcha y tapete, normalistas conmemoran desaparición de estudiantes de Ayotzinapa",Manifestaciones
Confirma la Fiscalía un muerto en San Francisco del Mar por enfrentamiento,Bloqueos
"Con bloqueo, habitantes de Santa Lucía del Camino exigen rehabilitación del drenaje",Bloqueos
Calvario en carretera y acceso al aeropuerto de Oaxaca por bloqueo de organizaciones,Bloqueos
"Convocan a marcha 'Tuxtepec a favor de la mujer y la vida""",Manifestaciones
"Oaxaca de Juárez, rehén de bloqueos y movilizaciones en las calles",Bloqueos
Pobladores de San José Manialtepec levantan bloqueo carretero en la Costa,Bloqueos
"OAXACA: Exigen comuneros la aprobación inmediata de su Consejo Municipal, realizan bloqueo",Bloqueos
Se deslinda la Asociación Civil de enfrentamiento en Molino Los Arcos,Bloqueos
Colapsa economía de la Costa por bloqueos hacia Huatulco y Juquila,Bloqueos
Se agudiza protesta de pobladores de San Juan Mazatlán; prevén bloqueo carretero,Bloqueos
"Acumula el Istmo de Oaxaca al menos 50 bloqueos carreteros, estrategia de presión para autoridades",Bloqueos
Autoridades de la Mixtequita San Juan Mazatlán Mixe amagan con bloqueo carretero,Bloqueos
Reporta Guardia Nacional dos bloqueos y un accidente en el Istmo,Bloqueos
Bloqueos afectan movilidad y economía en el Istmo,Bloqueos
Abaten a 9 sujetos durante enfrentamiento armado en Coahuila,Bloqueos
Con árboles bloqueaban acceso a comunidades de Atatlahuca atacadas; gobierno de Oaxaca continúa recorridos de seguridad,Bloqueos
OAXACA: STEUABJO activa bloqueo en demanda de respuesta económicaB (VÍDEO),Bloqueos
Concilia Segego en conflicto y quitan bloqueo carretero al Istmo,Bloqueos
"Despido de casi 3 mil empleados de salud en Oaxaca deja protestas, bloqueos y hasta huelga de hambre",Bloqueos
"Marchan mujeres en la ciudad de Oaxaca, piden justicia para Citlali",Bloqueos
Ejército da golpe de estado en Sudán en medio de protestas y bloqueos,Bloqueos
OAXACA: bloqueo carretero por desatención de Inmobiliaria 'Aguilar',Bloqueos
Lunes de bloqueos en Oaxaca,Bloqueos
Bloqueo en la Y griega es para pedir un pozo profundo,Bloqueos
OAXACA: exigen pobladores de Zaachila construcción de pozo profundo con bloqueo,Bloqueos
Marcha personal eventual de Salud en Salina Cruz.,Bloqueos
Amanece bloqueo en Tlacolula; insiste Segego en el diálogo,Bloqueos
"Por culpa de constructora, permanece bloqueo en carretera de Tlacolula",Bloqueos
Piden ayuda para bebé no aceptada en Hospital de la Niñez Oaxaqueña; anuncian bloqueo carretero,Bloqueos
López Obrador pide la integración comercial y el fin de los bloqueos en América Latina,Bloqueos
OAXACA: termina bloqueo en carretera federal 175 Oaxaca-Puerto Escondido,Bloqueos
Llega a Huixtla la Marcha Caravana por la Paz; en 12 días entraría a territorio oaxaqueño,Bloqueos
"En Oaxaca, enfrentamiento deja dos vehiculos incendiados y un lesionado",Bloqueos
Bloqueo de la carretera Federal Matamoros – Puerto Juárez en Tecolutla provoca descontento de automovilistas (vídeo),Bloqueos
"Con 3 bloqueos carreteros, pobladores del Istmo y trabajadores de Agua exige atención del gobierno",Bloqueos
Michoacán: tras liberación de bloqueo comienza movilidad de trenes,Bloqueos
"Istmo de Tehuantepec, secuestrado por bloqueos y manifestaciones",Bloqueos
Tres bloqueos afectan tránsito en Oaxaca,Bloqueos
OAXACA: Sol Rojo demanda con bloqueo y pintas justicia,Bloqueos
Marcha personal de salud en Oaxaca,Bloqueos
Se registra enfrentamiento armado entre civiles y policías en la Tolome-Paso de Ovejas,Bloqueos
Marcha retrasa a personas que salen a sus actividades esenciales,Bloqueos
VERACRUZ: Enfrentamiento entre palaperos y turistas deja personas lesionadas,Bloqueos
Marchan en la CDMX a 7 años de la desaparición de los 43 de Ayotzinapa,Bloqueos
Participará Oaxaca en marcha a favor de la vida el 3 de octubre,Manifestaciones
"Deja un muerto enfrentamiento de GN y AEI con presuntos narcomenudistas en San Francisco del Mar, Oaxaca",Bloqueos
Con bloqueo cierran paso a tiradero municipal y a la Costa,Bloqueos
Tres bloqueos en el Istmo afectan tránsito a Oaxaca y a Veracruz,Bloqueos
Marcha y bloqueos sitian a la ciudad de Oaxaca,Bloqueos
Marchan para pedir reinstalación de personal médico despedido en Oaxaca,Bloqueos
Habitantes de Jocotepec retienen a policías estatales en bloqueo carretero,Bloqueos
Permanecen bloqueos en la capital y zona conurbada de la ciudad de Oaxaca.,Bloqueos
Violentan derecho de tránsito con varios bloqueos en Oaxaca,Bloqueos
Personal médico despedido mantiene bloqueo en el crucero del aeropuerto,Bloqueos
"Indignante, pobladores de Jocotepec retienen ambulancia de Cruz Ámbar en bloqueo de Sebastopol en Tuxtepec",Bloqueos
Levantan bloqueo en el Istmo; pobladores de Chimalapa recibirán recursos,Bloqueos
Bloqueos complican la movilidad en la ciudad de Oaxaca,Bloqueos
Continúa bloqueo en carretera del Istmo,Bloqueos
"Tras finalizar bloqueo en Jalapa, transportistas reportan pérdidas millonarias.",Bloqueos
Trasciende enfrentamiento de policías y sujetos armados,Bloqueos
OAXACA: normalistas de la Mixteca marcharán por el No Olvido del Movimiento Estudiantil del 68,Bloqueos
Codeci anuncia bloqueos para conmemorar 11 aniversario luctuoso de su líder fundador Catarino Torres Pereda,Bloqueos
[VIDEO] Realizan marcha pro-vida en Tuxtepec,Manifestaciones
Bloqueo en Ciudad Administrativa afecta trámites y servicios,Bloqueos
Sindicato del IEBO anuncia bloqueos en todas las salidas/entradas a Tuxtepec,Bloqueos
Retiran bloqueo de calles aledañas al Palacio Municipal de la ciudad de Oaxaca,Bloqueos
Trabajadores de limpia instalaron bloqueos en la ciudad de Oaxaca,Bloqueos
Desaire de Oswaldo García propicia bloqueo en Tinoco y Palacios,Bloqueos
Dos grupos anuncian bloqueos y manifestaciones para este miércoles en Tuxtepec,Bloqueos
OAXACA: SUTIEBO activa bloqueos en regiones del Estado por millonaria deuda,Bloqueos
[VIDEO] Bloqueos 'secuestraron'Tuxtepec; comerciantes reportan perdidas millonarias,Bloqueos
"No a todos les fue mal con los bloqueos en Tuxtepec, taxistas repuntaron en pasajes",Bloqueos
"Retiran bloqueos en la ciudad de Oaxaca, se normaliza el tránsito",Bloqueos
Diálogo sin afectaciones pide Segego ante bloqueos en Oaxaca,Bloqueos
¡Se suma a bloqueos! Undeci exige atención de Bienestar y gobierno,Bloqueos
Padecen negocios pandemia y bloqueos en Tuxtepec,Bloqueos
Baja 60% el servicio de empresas transportistas por bloqueos en Oaxaca,Bloqueos
Personal de limpia reinicia bloqueos en la ciudad de Oaxaca,Bloqueos
"OAXACA: se alista bloqueo indefinido en carretera Pinotepa – Acapulco, pobladores de La Muralla piden recursos conforme a la ley aseguran",Bloqueos
OAXACA: latente retomar bloqueos por parte de trabajadores de limpia,Bloqueos
Retiran manifestantes bloqueo en Pinotepa Nacional,Bloqueos
Indolencia de autoridades municipales genera tres bloqueos hoy.,Bloqueos
Sindicalizados retiran bloqueo en la avenida Universidad,Bloqueos
Antorcha campesina plantea exigencias al estado con bloqueos,Bloqueos
"Trasciende enfrentamiento a balazos entre ministeriales y civiles, en Tantoyuca",Bloqueos
Retiran bloqueo transportistas de la Semarnat; atiende Segego la problemática.,Bloqueos
"OAXACA: Se libera bloqueo en carretera a Juquila, habría sido cerrado poco más de 15 días",Bloqueos
Afectan movilidad en Miahuatlán con dos bloqueos,Bloqueos
"Con bloqueo carretero piden cancelar proyecto minero San José, en Oaxaca",Bloqueos
OAXACA: Añeja demanda genera bloqueo carretero en Zaachila,Bloqueos
Retiran antimineras bloqueo hacia la Sierra Sur y Costa de Oaxaca,Bloqueos
Tras mesa de diálogo retiran bloqueo en Carretera Federal 200,Bloqueos
Desatención en CEA y Segego propicia bloqueos en Oaxaca,Bloqueos
OAXACA: Activan bloqueos por detención de un integrante de CTM,Bloqueos
Marchan padres de los 43 en Chilpancingo por 85 meses de caso Ayotzinapa,Bloqueos
OAXACA: Con bloqueo STEUABJO exige toma de nota,Bloqueos
OAXACA: Amanece bloqueo por crisis en sector salud,Bloqueos
Con bloqueos a vías férreas demandan información del Corredor Interoceánico en Oaxaca,Bloqueos
Vecinos desalojan a quienes bloqueaban en carretera del Istmo,Bloqueos
Pueblo de San Juan Mazatlán acciona con bloqueos; cierra Transistmica y carretera Tuxtepec-Palomares,Bloqueos
Reportan enfrentamiento entre policías y vendedores ambulantes en Oaxaca,Bloqueos
Mototaxistas del grupo OLI anuncian bloqueo carretero.,Bloqueos
Prometen plazas a trabajadores de Salud tras marcha en Acapulco,Manifestaciones
Bloqueos viales en Oaxaca de Juárez suman 4 semanas consecutivas,Bloqueos
Bloqueo en crucero de Huayapam impide movilidad de personas,Bloqueos
OAXACA: integrantes de CODECI dan otro día de bloqueo a capitalinos,Bloqueos
Cumple tres días en Oaxaca bloqueo carretero que impide paso a turistas y comerciantes del Istmo a Huatulco,Bloqueos
Van 4 días de afectaciones por bloqueo en el Istmo de Tehuantepec,Bloqueos
Marcharán el 23 de octubre por asesinato de Heriberto Pazos,Bloqueos
Retiran bloqueo de la avenida Universidad,Bloqueos
Recuerdan con marcha y homenajes a Heriberto Pazos,Manifestaciones
Van 8 días de afectaciones por bloqueo en Huamelula,Bloqueos
Bloqueo en el IMECA por parte de trabajadores del SAP en Juchitán,Bloqueos
Investiga Fiscalía de Oaxaca enfrentamientos en San Esteban Atatlahuca,Bloqueos
Retiran bloqueo en carretera de Río Grande a Juquila,Bloqueos
Bloqueos afectan movilidad en la colonia Reforma,Bloqueos
OAXACA: por obra escolar se realiza bloqueo en carretera federal,Bloqueos
"Con diálogo, la Policía Estatal logra desactivar bloqueos en la ciudad de Oaxaca.",Bloqueos
En Huajuapan marchan contra decreto que obliga a mayores de edad a mostrar certificado de vacunación,Bloqueos
La ENSFO marcha para encubrir a su director,Manifestaciones
"Fiscalía General interviene e inicia investigación en San Esteban Atatlahuca, tras enfrentamiento armado",Bloqueos
Marchan cientos en Oaxaca a favor de la vida y contra el aborto,Bloqueos
Damnificados por las lluvias en el Istmo amenazan con bloqueos,Bloqueos
OAXACA: CIPO realiza bloqueos en exigencia de justicia,Bloqueos
Retiran bloqueo entre Atatlahuca y Santa Cruz Nundaco,Bloqueos
Retiran bloqueo en carretera a la Costa,Bloqueos
Desquician bloqueos la ciudad de Oaxaca,Bloqueos
Marchan por dignidad y respeto en Tuxtepec,Bloqueos
OAXACA: 'no cambia nada'dice líder de Sindicato Independiente 3 de Marzo al anunciar otro día de bloqueos en la capital,Bloqueos
¡Otra vez! Desquician a Tuxtepec con bloqueos,Bloqueos
"Canceladas por bloqueos, 20% de reservaciones hoteleras en Oaxaca",Bloqueos
Mantendrán Sindicato 3 de Marzo bloqueos en Oaxaca hasta una respuesta,Bloqueos
"[VIDEO] En la vida hay que enfrentar los problemas, recomienda Murat a edil de Oaxaca; convoca a dialogo en Palacio para levantar bloqueos",Bloqueos
OAXACA: Gobernador del Estado atiende a Sindicato 3 de Marzo tras 15 horas de bloqueos,Bloqueos
Sindicato 3 de Marzo prolonga bloqueo hasta las 10 de la noche y reanuda mañana a las cinco.,Bloqueos
Levanta SUTIEBO bloqueo en la Costa tras promesa de solución,Bloqueos
Continúa bloqueo en la calle Miguel Cabrera de la ciudad de Oaxaca,Bloqueos
Bloqueo en el Istmo impide paso hacia Chiapas,Bloqueos
San Juan Bautista Jayacatlán: con escuelas cerradas y sin medicamentos para hacer frente a COVID-19,Arte y Cultura1
"Aplican ""alerta naranja"" en poblaciones ribereñas por fuertes lluvias",Desastres naturales
Solicitarán apoyo para 3 mil afectados por fuertes lluvias registradas en Santa María Jacatepec,Desastres naturales
Regresan alumnos con sistema mixto a casa de cultura en Tuxtepec,Neutral
"Oaxaca, con crisis de salud, económica y educativa por tercera ola de contagios COVID-19",Economía
"Jessica Anahí, amiga del balón, nació en cuna de familia futbolistas",Deportes
"Llaman al rescate de la laguna Biahuidó' en Juchitán, personajes políticos pretenden invadirlo",Política
Los 3 libros de Editorial Porrúa para festejar la Independencia,Neutral
Congreso de Yucatán aprobó esta tarde las reformas que permitirán el matrimonio igualitario,Política
Gran cuadrangular de veteranos; el torneo que reunirá a lo más granado de la categoría,Deportes
Trasladaba paquete de mariguana en taxi foráneo en Tlacolula de Matamoros,Delito
Novia de Sammy Pérez rechaza explicar destino del dinero de las cuentas del comediante fallecido,Neutral
"Alerta Protección civil de probables inundaciones en zonas bajas de Jacatepec, Chiltepec y Tuxtepec",Desastres naturales
"Coches varados y casas inundadas en Juchitán, estragos por fenómeno meteorológico",Desastres naturales
"Promesas sí, hechos no",Neutral
Piden legisladores de Oaxaca no dejar entrega de bases de salud en manos de sindicatos,Política
Cambio de corcholatas.,Neutral
"Exhibe Alfonso Barrera ""La felicidad es una ola poderosa""",Neutral
"Poder y dinero | Víctor Sánchez Baños | Sindicatos, corrupción y complicidad",Política
Rescata Nativitas Coatlán antiguo lienzo mixe que data del siglo XV,Arte y Cultura
Cierran de manera definitiva 22 negocios en la capital oaxaqueña; locatarios no pudieron solventar sus gastos de operación,Economía
"Pese a los tiempos difíciles, no nos ‘rajamos’: dice 'Don Papitas', conocido vendedor de frituras de Tuxtepec",Economía
Denuncian despidos injustificados catedráticos de Universidad Bienestar campus Tlaxiaco,Política
Amigos por siempre,Neutral
Ensayo positivo en casa para Cafetaleros de Chiapas,Neutral
Britney Spears anuncia que se casará por tercera vez,Neutral
"(Video)Como por milagro, sacerdote desaparece celular; usa una biblia para robar a comensales",Neutral
"Inés Gómez Mont y su esposo habrían desviado 3 mmdp de Segob, publica Animal Político",Delito
Abren convocatoria para el primer Concurso Estatal de Día de Muertos,Arte y Cultura
"Hernán Cortés, el personaje efímero que traspasó el tiempo y permanece",Neutral
"El Huipil de Valle Nacional, en peligro de extinción; solo ocho personas luchan por su rescate",Arte y Cultura
En un bar en San Pablo Güilá fueron rescatadas dos mujeres que eran explotadas,Delito
VERACRUZ: Varón se niega a seguir bebiendo con su amigo y termina asesinado,Delito
"Dejaría ""Nicholas"" más inundaciones, alerta Conagua",Desastres naturales
"""Escribir es como buscar una senda secreta"", reflexiona Villoro desde Oaxaca sobre su nuevo libro",Neutral
Fracasa gobierno de México en su intención de contener caravana,Arte y Cultura
Telesecundaria de Huajuapan regresa a las aulas para brindar asesorías,Neutral
"La niñez, feliz con el regreso a las aulas",Neutral
Explora Rodrigo Morlesin mundos mágicos en su nuevo libro ‘¿A dónde va este tren?’,Arte y Cultura
"Poder y Dinero | Víctor Sánchez Baños | Una vez más: ¡Los celulares!, idiotas",Neutral
¿Tienes adolescentes en casa? Uno de cada 7 puede tener problemas de salud mental,Arte y Cultura1
Libros de ayer y hoy | Teresa Gil | El mes de la Patria en sus avatares y su devenir creativo,Arte y Cultura
Asesinan a balazos a un individuo frente a la casa ejidal de Ejutla,Delito
Humberto Aguilar Coronado | Palabra de tigre | Hace 30 años,Neutral
"OAXACA: municiones, dinero y droga lo asegurado tras cateos en Juchitán",Delito
Activan protocolo emergente por brote de Covid en secundaria de Morelos,Arte y Cultura1
En cateos decomisan droga y municiones en Juchitán de Zaragoza,Delito
OAXACA: sexoservidora termina lesionada por riña,Accidentes e Incidentes
"Familia encuentra en la puerta de su casa una caja con flores y una bomba casera, en Emiliano Zapata, Veracruz",Accidentes e Incidentes
Continuarán lluvias en Oaxaca debido a la tormenta tropical Nicholas,Desastres naturales
Entregan despensas a familias oaxaqueñas Minera Cuzcatlán y San José del Progreso,Política
El Ayuntamiento de San José del Progreso y Compañía Minera Cuzcatlán lanzan su programa de becas 2021-2022 a favor de 161 estudiantes del municipio,Política
Piden a locatarios de Tamazulápam mostrar certificado de vacunación anticovid,Arte y Cultura1
Fomenta IEEPO en estudiantes de nivel básico amor y respeto por la naturaleza,Neutral
Millennials carecen de ingresos suficientes para adquirir una casa propia en México,Economía
Explosión de pirotecnia deja 2 lesionados y 5 casas dañadas en Oaxaca,Accidentes e Incidentes
Muere mujer al caer de una casa de tres pisos en Juchitán,Accidentes e Incidentes
Libros de ayer y hoy | Teresa Gil | ¿Golpes blandos?,Neutral
Exnovio de Laura Bozzo acepta agarrarse a golpes con Alfredo Adame,Neutral
"Las 'corcholatas', lección de democracia de Mura",Neutral
Entre el pecado y el placer; la oscura historia del sexo anal,Neutral
Denuncia anónima a través de la Línea del Fiscal permite la detención de tres probables narcomenudistas; cateo realizado en la Cuenca,Delito
• Apoyan Migrantes con Remesas,Neutral
Indigente encontrado sin vida en Huixtla,Delito
La conmovedora historia de 'Pay de Limón': el perro mutilado por los Zetas y rescatado por el albergue que colapsó en Xochimilco,Neutral
10 extrañas fobias sobre el amor y el sexo que NO imaginarías,Neutral
Señor de 40 años se suicida al interior de su casa en Puerto Madero,Accidentes e Incidentes
Libros de ayer y hoy | Teresa Gil | Violencia y radicalismo,Neutral
"Se siguen muriendo los indigentes, ante indolencia del edil Oswaldo García Jarquín",Accidentes e Incidentes
"Doña Migue: una vida rescatando ""lomitos""",Neutral
"Ejecutamos cateos simultáneos en Juchitán de Zaragoza; aseguramos droga, municiones, dinero en efectivo y detuvimos a dos personas: FGEO",Delito
FGEO rescata a dos mujeres víctimas del delito de trata de personas; estaban en un bar en San Pablo Guilá,Delito
"Recupera su motocicleta, uno de sus 'amigos'se la robó hace un mes",Delito
"Tras rescate de 3 niños en Oaxaca, alerta 4T que crimen organizado recluta halcones con videojuegos",Delito
Corazón de Guaje: un espacio cultural multidisciplinario en Oaxaca pensado para tiempos de pandemia,Arte y Cultura
